date	param-size	value	success	cilo	cihi	complete
"Tue Feb 26 21:51:05 CET 2013"	300000	6.899763083333331	true	6.128	7.672	"6.71244 6.849869 6.854873 6.715135 6.84063 6.789816 8.939783 6.491092 6.524198 6.320557 6.413716 6.514574 6.472229 7.694073 6.919545 6.96959 9.011384 6.723604 7.510449 6.790586 7.534317 6.759789 6.629676 6.37753 6.451442 6.606578 8.987518 6.475694 6.461065 6.456831 6.494556 6.507645 6.392544 6.471844 6.516883 7.209416"
"Tue Feb 26 21:51:05 CET 2013"	600000	13.956458999999995	true	12.701	15.212	"15.918612 13.487628 13.574627 13.399474 13.233943 16.111859 15.544437 13.537287 13.457216 14.259461 13.17774 13.417181 16.029478 13.322098 13.327102 13.417182 13.579632 13.50803 15.562145 13.401013 13.55153 13.108064 12.910197 13.329797 16.09954 13.276673 12.895954 13.220855 13.423726 16.975695 14.027718 13.063408 12.959857 13.191983 15.915147 13.216235"
"Tue Feb 26 21:51:05 CET 2013"	900000	20.92060561111111	true	19.293	22.548	"22.424717 21.051586 19.372032 19.407449 19.781238 24.002643 21.553181 19.379732 19.97949 25.054721 19.118348 19.05868 20.319019 20.068029 23.313959 22.804281 19.937145 20.036078 19.80318 23.192315 20.230479 20.487629 20.021064 22.505557 20.039928 20.152719 20.599651 20.101135 22.581008 20.169272 20.193524 20.481084 22.555986 20.551531 20.273209 22.540203"
