date	param-size	value	success	cilo	cihi	complete
"2013-04-18T21:55:10Z"	900000	3.946949861111111	true	2.975	4.919	"3.238255 3.244415 3.256733 3.256733 3.265972 3.346813 3.558924 3.561234 4.749595 4.75229 4.902808 4.966711 3.649389 4.589839 4.676838 4.724573 4.726883 4.877016 4.892799 4.919361 4.946309 4.961707 5.015216 5.037543 3.237485 3.237485 3.23787 3.23787 3.23941 3.244415 3.248264 3.250959 3.257118 3.259043 3.259428 3.262892"
"2013-04-18T22:00:40Z"	100000	0.45537161111111124	true	0.353	0.558	"0.39304 0.424607 0.429997 0.463873 0.478501 0.49082 0.497364 0.497749 0.518536 0.563577 0.568581 0.576665 0.360704 0.360704 0.361089 0.363399 0.364554 0.368404 0.376872 0.376873 0.376873 0.390731 0.392656 0.39535 0.360319 0.360704 0.373408 0.502368 0.518537 0.52816 0.53663 0.553568 0.555493 0.566656 0.570891 0.575125"
"2013-04-18T22:00:40Z"	300000	1.6283133055555552	true	1.487	1.769	"1.536362 1.543291 1.574088 1.603729 1.607964 1.609889 1.661858 1.672637 1.723836 1.730765 1.761176 1.852026 1.184127 1.512109 1.515574 1.547141 1.551761 1.558305 1.594875 1.601805 1.664553 1.666092 1.68996 1.736155 1.569083 1.573318 1.581402 1.612584 1.614124 1.614509 1.64492 1.694194 1.717677 1.726916 1.771186 1.799288"
"2013-04-18T22:00:40Z"	500000	2.4057972500000004	true	1.826	2.986	"1.888982 1.892447 1.923243 2.034881 2.48759 2.495674 2.536094 2.551493 2.628099 2.666595 2.74859 4.075921 1.843943 1.850101 1.854336 1.930557 1.948266 1.954809 2.000235 2.025257 2.042965 2.083 2.160376 2.218505 2.504913 2.543793 2.600382 2.676219 2.708555 2.711635 2.758215 2.759754 2.789781 2.849065 2.916432 2.947998"
"2013-04-18T22:00:40Z"	700000	3.5837113611111113	true	3.140	4.027	"3.548531 3.657088 3.661708 3.710212 3.742164 3.764492 3.77681 3.811071 3.835709 3.884212 3.948886 3.955045 2.618475 2.828662 2.84021 2.937604 3.044237 3.464995 3.528898 3.539677 3.653624 3.657473 3.737929 3.990076 2.880246 3.480008 3.585486 3.607429 3.693275 3.697509 3.761027 3.77912 3.784893 3.814921 3.868429 3.923478"
"2013-04-18T22:00:40Z"	900000	3.564826944444444	true	2.829	4.301	"3.237871 3.239025 3.23941 3.240565 3.24249 3.244414 3.249419 3.252114 3.255963 3.265202 3.267128 3.299079 3.414181 3.41572 3.435739 3.651699 3.653239 3.820309 4.643347 4.712255 4.735736 4.900113 4.917436 5.081042 3.239795 3.24018 3.240565 3.240565 3.240951 3.242875 3.242875 3.245185 3.245955 3.246724 3.247109 3.247495"
"2013-04-18T22:00:40Z"	100000	0.45537161111111124	true	0.353	0.558	"0.39304 0.424607 0.429997 0.463873 0.478501 0.49082 0.497364 0.497749 0.518536 0.563577 0.568581 0.576665 0.360704 0.360704 0.361089 0.363399 0.364554 0.368404 0.376872 0.376873 0.376873 0.390731 0.392656 0.39535 0.360319 0.360704 0.373408 0.502368 0.518537 0.52816 0.53663 0.553568 0.555493 0.566656 0.570891 0.575125"
"2013-04-18T22:00:40Z"	300000	1.6283133055555552	true	1.487	1.769	"1.536362 1.543291 1.574088 1.603729 1.607964 1.609889 1.661858 1.672637 1.723836 1.730765 1.761176 1.852026 1.184127 1.512109 1.515574 1.547141 1.551761 1.558305 1.594875 1.601805 1.664553 1.666092 1.68996 1.736155 1.569083 1.573318 1.581402 1.612584 1.614124 1.614509 1.64492 1.694194 1.717677 1.726916 1.771186 1.799288"
"2013-04-18T22:00:40Z"	500000	2.4057972500000004	true	1.826	2.986	"1.888982 1.892447 1.923243 2.034881 2.48759 2.495674 2.536094 2.551493 2.628099 2.666595 2.74859 4.075921 1.843943 1.850101 1.854336 1.930557 1.948266 1.954809 2.000235 2.025257 2.042965 2.083 2.160376 2.218505 2.504913 2.543793 2.600382 2.676219 2.708555 2.711635 2.758215 2.759754 2.789781 2.849065 2.916432 2.947998"
"2013-04-18T22:00:40Z"	700000	3.5837113611111113	true	3.140	4.027	"3.548531 3.657088 3.661708 3.710212 3.742164 3.764492 3.77681 3.811071 3.835709 3.884212 3.948886 3.955045 2.618475 2.828662 2.84021 2.937604 3.044237 3.464995 3.528898 3.539677 3.653624 3.657473 3.737929 3.990076 2.880246 3.480008 3.585486 3.607429 3.693275 3.697509 3.761027 3.77912 3.784893 3.814921 3.868429 3.923478"
"2013-04-18T22:00:40Z"	900000	3.564826944444444	true	2.829	4.301	"3.237871 3.239025 3.23941 3.240565 3.24249 3.244414 3.249419 3.252114 3.255963 3.265202 3.267128 3.299079 3.414181 3.41572 3.435739 3.651699 3.653239 3.820309 4.643347 4.712255 4.735736 4.900113 4.917436 5.081042 3.239795 3.24018 3.240565 3.240565 3.240951 3.242875 3.242875 3.245185 3.245955 3.246724 3.247109 3.247495"
